"","Isolate","level 1","level 2","level 3","level 4","level 5","level 6","level 7","level 8","level 9","level 10","level 11","level 12"
"1","1944|KM204119|USA.Hawaii",1,1,1,1,1,1,1,1,1,1,1,1
"773","2006|FJ898421|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"774","2006|FJ898422|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"775","2006|FJ898423|Vietnam",2,6,16,28,34,76,83,86,85,85,85,85
"776","2006|FJ898424|Vietnam",2,6,16,29,69,75,82,85,84,84,84,84
"777","2006|FJ898425|Vietnam",9,24,38,52,58,65,74,77,76,76,76,76
"778","2006|FJ898426|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"779","2006|FJ898427|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"780","2006|FJ898428|Vietnam",9,24,38,52,58,65,74,77,76,76,76,76
"781","2006|FJ898429|Vietnam",2,6,16,29,69,75,82,85,84,84,84,84
"782","2006|FJ898430|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"783","2006|FJ898431|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"784","2006|GQ199771|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"785","2006|GQ199772|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"786","2006|GQ199839|Vietnam",9,23,26,36,40,47,56,58,57,57,57,57
"787","2006|GQ199840|Vietnam",3,9,12,33,39,46,55,57,56,56,56,56
"788","2006|GQ199841|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"789","2006|GQ199842|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"790","2006|GQ199843|Vietnam",2,6,16,29,71,79,86,89,88,88,88,88
"791","2006|GQ199844|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"792","2006|GQ199845|Vietnam",3,10,47,66,66,72,79,82,81,81,81,81
"793","2006|GQ199846|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"794","2006|GQ199847|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"795","2006|GQ199848|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"796","2006|GQ199849|Vietnam",9,23,26,36,40,47,56,58,57,57,57,57
"797","2006|GQ199850|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"798","2006|GQ199851|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"799","2006|GQ199852|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"800","2006|GQ199853|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"801","2006|GQ199854|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"802","2006|GQ199855|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"803","2006|GQ199856|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"804","2006|GQ868605|Vietnam",9,23,27,48,55,63,72,73,73,73,73,73
"805","2006|GQ868606|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"806","2006|GQ868612|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"807","2006|GQ868613|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"808","2006|GQ868630|Cambodia",3,9,11,18,54,62,71,72,72,72,72,72
"809","2006|GQ868639|Cambodia",3,9,11,18,54,62,71,72,72,72,72,72
"810","2006|GU131887|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"811","2006|GU131888|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"812","2006|GU131889|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"813","2006|GU131890|Cambodia",3,9,11,18,54,62,71,72,72,72,72,72
"814","2006|GU131891|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"815","2006|GU131892|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"816","2006|GU131925|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"817","2006|GU131926|Cambodia",3,9,11,18,54,62,71,72,72,72,72,72
"818","2006|HM181936|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"819","2006|HM181937|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"820","2006|HM181938|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"821","2006|HM181939|Cambodia",3,9,11,18,54,62,71,72,72,72,72,72
"822","2006|HM181940|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"823","2006|HM181941|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"824","2006|HM181942|Cambodia",3,9,11,18,54,62,71,72,72,72,72,72
"825","2006|HQ588117|Vietnam",9,23,26,36,40,47,56,58,57,57,57,57
"826","2006|HQ588120|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"827","2006|HQ588121|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"828","2006|HQ588123|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"829","2006|HQ588124|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"830","2006|HQ588125|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"831","2006|JF269174|Vietnam",10,25,28,37,42,49,58,60,59,59,59,59
"832","2006|JF269175|Vietnam",10,25,28,37,42,49,58,60,59,59,59,59
"833","2006|JF937598|Vietnam",2,6,16,29,69,75,82,85,84,84,84,84
"834","2006|JF937599|Vietnam",3,10,47,66,66,72,79,82,81,81,81,81
"835","2006|JN415533|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"836","2006|JN638325|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"837","2006|JQ287660|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"838","2006|JQ287661|Vietnam",9,24,38,52,58,65,74,77,76,76,76,76
"839","2006|JQ317743|China",7,18,42,57,60,67,76,79,78,78,78,78
"840","2006|JQ317744|China",7,18,42,57,60,67,76,79,78,78,78,78
"841","2006|JQ317745|China",7,18,42,57,60,67,76,79,78,78,78,78
"842","2006|JQ993118|Thailand",2,7,48,69,72,80,87,90,89,89,89,89
"843","2006|JQ993119|Thailand",2,7,48,69,72,80,87,90,89,89,89,89
"844","2006|JQ993120|Thailand",2,7,48,69,72,80,87,90,89,89,89,89
"845","2006|JQ993121|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"846","2006|JQ993122|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"847","2006|JQ993123|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"848","2006|JQ993124|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"849","2006|JQ993125|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"850","2006|JQ993126|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"851","2006|JQ993127|Thailand",7,17,39,54,59,66,75,78,77,77,77,77
"852","2006|JQ993128|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"853","2006|JQ993129|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"854","2006|JQ993130|Thailand",7,17,39,54,59,66,75,78,77,77,77,77
"855","2006|JQ993152|Thailand",2,7,48,69,72,80,87,90,89,89,89,89
"856","2006|JQ993153|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"857","2006|JQ993154|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"858","2006|JQ993155|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"859","2006|JQ993156|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"860","2006|JQ993157|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"861","2006|JQ993158|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"862","2006|JQ993159|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"863","2006|JQ993160|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"864","2006|JQ993161|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"865","2006|JQ993162|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"866","2006|JQ993163|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"867","2006|JQ993164|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"868","2006|JQ993165|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"869","2006|JQ993166|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"870","2006|JQ993167|Thailand",8,20,24,31,38,45,52,54,54,54,54,54
"871","2006|JQ993168|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"872","2006|JQ993169|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"873","2006|JQ993170|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"874","2006|JQ993171|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"875","2006|JQ993172|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"876","2006|JQ993173|Thailand",8,20,24,31,38,45,52,54,54,54,54,54
"877","2006|JQ993174|Thailand",8,20,24,31,38,45,52,54,54,54,54,54
"878","2006|JQ993175|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"879","2006|JQ993176|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"880","2006|JQ993177|Thailand",7,17,39,54,59,66,75,78,77,77,77,77
"881","2006|JQ993178|Thailand",8,20,24,31,38,45,52,54,54,54,54,54
"882","2006|JQ993179|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"883","2006|JQ993180|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"884","2006|JQ993181|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"885","2006|JQ993182|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"886","2006|JQ993183|Thailand",7,17,39,54,59,66,75,78,77,77,77,77
"887","2006|JQ993184|Thailand",7,17,39,54,59,66,75,78,77,77,77,77
"888","2006|JQ993185|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"889","2006|JQ993186|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"890","2006|JQ993187|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"891","2006|JQ993188|Thailand",7,17,39,54,59,66,75,78,77,77,77,77
"892","2006|JQ993189|Thailand",7,17,39,54,59,66,75,78,77,77,77,77
"893","2006|JQ993190|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"894","2006|JQ993191|Thailand",7,17,39,54,59,66,75,78,77,77,77,77
"895","2006|JQ993192|Thailand",7,17,39,54,59,66,75,78,77,77,77,77
"896","2006|JQ993193|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"897","2006|JQ993195|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"898","2006|JQ993196|Thailand",8,20,24,31,38,45,52,54,54,54,54,54
"899","2006|JQ993197|Thailand",2,7,49,70,73,81,88,91,90,90,90,90
"900","2006|JQ993203|Thailand",7,17,39,54,59,66,75,78,77,77,77,77
"901","2006|KC861918|Vietnam",8,21,33,47,53,61,70,71,71,71,71,71
"902","2006|KC861922|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"903","2006|KC861965|Vietnam",8,21,33,47,53,61,70,71,71,71,71,71
"904","2006|KC861966|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"905","2006|KC861967|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"906","2006|KC861975|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"907","2006|KC861978|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"908","2006|KF921934|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"909","2006|KF921936|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"910","2006|KF921937|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"911","2006|KT827365|China",7,17,39,54,59,66,75,78,77,77,77,77
"912","2006|KX225491|China",7,17,39,54,59,66,75,78,77,77,77,77
"913","2007|EU280167|China",7,17,39,54,59,66,75,78,77,77,77,77
"914","2007|EU359008|China",8,21,33,47,53,61,70,71,71,71,71,71
"915","2007|EU448388|Vietnam",9,23,26,36,40,47,56,58,57,57,57,57
"916","2007|EU448389|Cambodia",10,25,28,37,42,49,58,60,59,59,59,59
"917","2007|EU448390|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"918","2007|EU448392|Vietnam",3,10,47,66,66,72,79,82,81,81,81,81
"919","2007|EU448394|Thailand",7,16,19,24,28,37,44,46,46,46,46,46
"920","2007|EU448395|Malaysia",7,16,19,24,28,37,44,46,46,46,46,46
"921","2007|EU448397|Vietnam",8,21,32,41,48,82,89,92,91,91,91,91
"922","2007|EU448398|Thailand",8,20,24,31,38,45,52,54,54,54,54,54
"923","2007|EU448401|Indonesia",11,27,50,71,74,84,90,93,92,92,92,92
"924","2007|EU482477|Vietnam",3,9,13,72,75,85,91,94,93,93,93,93
"925","2007|EU482478|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"926","2007|EU482479|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"927","2007|EU482481|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"928","2007|EU482482|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"929","2007|EU482483|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"930","2007|EU482484|Vietnam",3,10,47,66,66,72,79,82,81,81,81,81
"931","2007|EU482485|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"932","2007|EU482486|Vietnam",2,6,16,29,71,78,85,88,87,87,87,87
"933","2007|EU482487|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"934","2007|EU482488|Vietnam",3,10,47,66,66,72,79,82,81,81,81,81
"935","2007|EU482489|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"936","2007|EU482490|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"937","2007|EU482491|Vietnam",3,10,47,66,66,72,79,82,81,81,81,81
"938","2007|EU482492|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"939","2007|EU482493|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"940","2007|EU482494|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"941","2007|EU482495|Vietnam",2,6,16,29,71,78,85,88,87,87,87,87
"942","2007|EU482496|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"943","2007|EU482497|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"944","2007|EU482498|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"945","2007|EU482499|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"946","2007|EU482500|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"947","2007|EU482501|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"948","2007|EU482502|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"949","2007|EU482503|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"950","2007|EU482504|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"951","2007|EU482505|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"952","2007|EU482506|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"953","2007|EU482507|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"954","2007|EU482508|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"955","2007|EU482509|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"956","2007|EU482510|Vietnam",2,6,16,28,35,90,95,98,97,97,97,97
"957","2007|EU482511|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"958","2007|EU482512|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"959","2007|EU482513|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"960","2007|EU482514|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"961","2007|EU482515|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"962","2007|EU482516|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"963","2007|EU482517|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"964","2007|EU482708|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"965","2007|EU482709|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"966","2007|EU482710|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"967","2007|EU482711|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"968","2007|EU482712|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"969","2007|EU482713|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"970","2007|EU482714|Vietnam",3,10,47,66,66,72,79,82,81,81,81,81
"971","2007|EU482715|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"972","2007|EU482716|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"973","2007|EU482717|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"974","2007|EU482718|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"975","2007|EU660395|Vietnam",2,6,16,29,71,78,85,88,87,87,87,87
"976","2007|EU660412|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"977","2007|EU660418|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"978","2007|EU660419|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"979","2007|EU677139|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"980","2007|EU677140|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"981","2007|EU677150|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"982","2007|EU677151|Vietnam",2,6,16,29,70,77,84,87,86,86,86,86
"983","2007|EU677152|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"984","2007|EU677153|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"985","2007|EU677154|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"986","2007|EU677155|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"987","2007|EU677156|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"988","2007|EU677157|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"989","2007|EU677158|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"990","2007|EU677159|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"991","2007|EU677160|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"992","2007|EU677161|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"993","2007|EU677162|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"994","2007|EU677163|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"995","2007|EU677164|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"996","2007|EU677165|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"997","2007|EU677166|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"998","2007|EU677167|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"999","2007|EU677168|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1000","2007|EU677169|Vietnam",2,6,16,29,70,77,84,87,86,86,86,86
"1001","2007|EU677170|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1002","2007|EU677171|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1003","2007|EU677172|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"1004","2007|EU677173|Vietnam",9,23,26,36,40,47,56,58,57,57,57,57
"1005","2007|EU677174|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"1006","2007|EU677175|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"1007","2007|EU677176|Vietnam",2,6,16,29,71,78,85,88,87,87,87,87
"1008","2007|EU677177|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1009","2007|EU677178|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1010","2007|EU687251|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1011","2007|EU726777|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"1012","2007|EU726778|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1013","2007|EU726779|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1014","2007|EU726780|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1015","2007|EU726781|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"1016","2007|EU726782|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1017","2007|FJ024425|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"1018","2007|FJ024426|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"1019","2007|FJ024427|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1020","2007|FJ024428|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"1021","2007|FJ024429|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"1022","2007|FJ024430|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1023","2007|FJ024431|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"1024","2007|FJ024432|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1025","2007|FJ024433|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1026","2007|FJ024434|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"1027","2007|FJ024435|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"1028","2007|FJ024436|Vietnam",3,9,13,72,75,85,91,94,93,93,93,93
"1029","2007|FJ024437|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1030","2007|FJ024438|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1031","2007|FJ024439|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1032","2007|FJ024440|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"1033","2007|FJ024441|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1034","2007|FJ024442|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1035","2007|FJ024443|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"1036","2007|FJ024445|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1037","2007|FJ024446|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1038","2007|FJ024447|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1039","2007|FJ024448|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1040","2007|FJ024449|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1041","2007|FJ024450|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"1042","2007|FJ024451|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1043","2007|FJ024453|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"1044","2007|FJ024455|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"1045","2007|FJ024456|Vietnam",9,23,27,48,55,63,72,73,73,73,73,73
"1046","2007|FJ024457|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1047","2007|FJ024459|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"1048","2007|FJ024460|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"1049","2007|FJ024462|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1050","2007|FJ024463|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"1051","2007|FJ024464|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"1052","2007|FJ024472|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"1053","2007|FJ158609|China",8,21,33,47,53,61,70,71,71,71,71,71
"1054","2007|FJ158610|China",8,21,33,47,53,61,70,71,71,71,71,71
"1055","2007|FJ158611|China",8,21,33,47,53,61,70,71,71,71,71,71
"1056","2007|FJ158612|China",8,21,33,47,53,61,70,71,71,71,71,71
"1057","2007|FJ182003|Vietnam",9,24,37,50,56,64,73,74,74,74,74,74
"1058","2007|FJ182019|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1059","2007|FJ182020|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"1060","2007|FJ182021|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1061","2007|FJ182022|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1062","2007|FJ182023|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"1063","2007|FJ182024|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"1064","2007|FJ182025|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1065","2007|FJ182026|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"1066","2007|FJ182027|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1067","2007|FJ182028|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"1068","2007|FJ182029|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"1069","2007|FJ182030|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1070","2007|FJ182031|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"1071","2007|FJ182032|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"1072","2007|FJ182033|Vietnam",2,6,16,30,81,91,96,99,98,98,98,98
"1073","2007|FJ182034|Vietnam",3,9,13,72,75,85,91,94,93,93,93,93
"1074","2007|FJ182035|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"1075","2007|FJ182036|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"1076","2007|FJ205876|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1077","2007|FJ205881|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"1078","2007|FJ205882|Vietnam",3,9,13,72,75,85,91,94,93,93,93,93
"1079","2007|FJ205883|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1080","2007|FJ205884|Vietnam",6,14,18,67,68,74,81,84,83,83,83,83
"1081","2007|FJ373297|Vietnam",2,6,16,29,71,78,85,88,87,87,87,87
"1082","2007|FJ373298|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1083","2007|FJ390381|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1084","2007|FJ390382|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1085","2007|FJ390383|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1086","2007|FJ390386|Vietnam",6,15,53,75,79,87,93,96,95,95,95,95
"1087","2007|FJ390388|Vietnam",6,14,18,68,77,88,94,97,96,96,96,96
"1088","2007|FJ410194|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1089","2007|FJ410196|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1090","2007|FJ410197|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1091","2007|FJ410198|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1092","2007|FJ410199|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"1093","2007|FJ410201|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"1094","2007|FJ410203|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"1095","2007|FJ410204|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"1096","2007|FJ410205|Vietnam",6,15,53,75,80,92,97,100,99,99,99,99
"1097","2007|FJ410206|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1098","2007|FJ410207|Vietnam",3,8,7,14,17,25,31,32,31,31,31,31
"1099","2007|FJ410209|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"1100","2007|FJ410210|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
"1101","2007|FJ410211|Vietnam",5,13,14,19,24,33,40,42,41,41,41,41
"1102","2007|FJ410212|Vietnam",7,16,20,46,83,93,98,101,100,100,100,100
"1103","2007|FJ410216|Vietnam",3,9,13,73,84,94,99,102,101,101,101,101
"1104","2007|FJ410218|Vietnam",9,23,26,36,40,47,56,58,57,57,57,57
"1105","2007|FJ410222|Vietnam",6,14,18,68,76,86,92,95,94,94,94,94
"1106","2007|FJ410225|Vietnam",6,14,17,23,27,36,43,45,45,45,45,45
