"","Isolate","level 1","level 2","level 3","level 4","level 5","level 6","level 7","level 8","level 9","level 10","level 11","level 12"
"1","1956|KF289073|India",1,1,1,1,1,1,1,1,1,1,1,1
"337","2006|GU131958|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"338","2006|HM171557|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"339","2006|HM171558|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"340","2006|HM171559|Mexico",9,24,43,55,62,78,82,81,81,81,81,81
"341","2006|HM171560|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"342","2006|HM171562|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"343","2006|HM171566|Mexico",9,24,43,55,62,78,82,81,81,81,81,81
"344","2006|HM171567|Mexico",9,24,43,55,62,78,82,81,81,81,81,81
"345","2006|HM171568|Mexico",9,24,44,67,78,79,83,82,82,82,82,82
"346","2006|HM171570|Mexico",9,24,44,67,78,79,83,82,82,82,82,82
"347","2006|HM450100|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"348","2006|HQ332177|Venezuela",7,19,37,49,58,60,71,83,83,83,83,83
"349","2006|HQ332178|Venezuela",7,19,37,49,58,60,71,83,83,83,83,83
"350","2006|HQ332180|Venezuela",7,19,37,50,65,66,72,70,70,70,70,70
"351","2006|HQ332181|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"352","2006|HQ332182|Venezuela",5,14,21,33,38,81,84,84,84,84,84,84
"353","2006|JN819403|Nicaragua",9,25,46,62,68,69,75,73,73,73,73,73
"354","2006|JN819405|Venezuela",7,19,37,50,65,66,72,70,70,70,70,70
"355","2006|JN819413|Venezuela",7,19,37,49,58,60,70,69,68,68,68,68
"356","2006|JN819415|Venezuela",5,14,21,33,37,38,38,39,37,37,37,37
"357","2006|JQ581606|Colombia",7,19,37,50,65,66,72,70,70,70,70,70
"358","2006|JQ581607|Colombia",7,19,37,49,57,57,60,85,85,85,85,85
"359","2006|JQ581608|Colombia",7,19,37,49,57,57,60,85,85,85,85,85
"360","2006|JQ581609|Colombia",7,19,37,49,57,57,60,85,85,85,85,85
"361","2006|JQ581610|Colombia",7,19,37,49,57,57,60,85,85,85,85,85
"362","2006|JQ581611|Colombia",7,19,37,49,57,57,60,85,85,85,85,85
"363","2006|JQ581612|Colombia",7,19,37,50,65,66,72,70,70,70,70,70
"364","2006|JQ581614|Colombia",7,19,37,50,65,66,72,70,70,70,70,70
"365","2006|JQ581615|Colombia",7,19,37,50,65,66,72,70,70,70,70,70
"366","2006|JQ581616|Colombia",7,19,37,50,65,66,72,70,70,70,70,70
"367","2006|JQ581621|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"368","2006|JQ581635|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"369","2006|JQ581638|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"370","2006|JQ581639|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"371","2006|JQ581640|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"372","2006|JQ581641|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"373","2006|JQ581642|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"374","2006|JQ581643|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"375","2006|JQ581644|Colombia",7,18,29,66,76,82,85,86,86,86,86,86
"376","2006|JQ581645|Colombia",7,18,29,66,75,75,80,79,79,79,79,79
"377","2006|JQ581646|Colombia",7,18,29,66,75,76,86,87,87,87,87,87
"378","2006|JQ581647|Colombia",7,18,29,66,75,76,86,87,87,87,87,87
"379","2006|KF955413|Venezuela",7,19,37,49,57,58,64,63,62,62,62,62
"380","2006|KF955414|Venezuela",8,21,31,38,42,40,40,41,39,39,39,39
"381","2006|KF955415|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"382","2006|KF955416|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"383","2006|KF955417|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"384","2007|EU482609|Venezuela",7,19,37,49,58,59,63,88,88,88,88,88
"385","2007|EU482610|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"386","2007|EU482611|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"387","2007|FJ639806|Venezuela",7,19,37,49,57,58,64,63,62,62,62,62
"388","2007|FJ850090|Brazil",4,11,19,17,19,19,18,18,18,18,18,18
"389","2007|FJ850099|Venezuela",7,19,37,49,58,59,61,61,61,61,61,61
"390","2007|FJ850100|Venezuela",7,19,37,50,65,66,72,70,70,70,70,70
"391","2007|FJ850101|Venezuela",7,19,37,49,58,59,63,88,88,88,88,88
"392","2007|FJ850102|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"393","2007|FJ873809|Venezuela",7,19,37,49,58,59,63,88,88,88,88,88
"394","2007|FJ873810|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"395","2007|FJ882579|Venezuela",7,19,37,49,58,60,70,69,68,68,68,68
"396","2007|FJ898433|Nicaragua",9,23,36,57,63,64,68,68,67,67,67,67
"397","2007|GQ199877|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"398","2007|GQ357690|Singapore",1,3,32,47,80,83,87,89,89,89,89,89
"399","2007|GQ357691|Singapore",1,3,32,47,80,83,87,89,89,89,89,89
"400","2007|GQ868500|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"401","2007|GQ868501|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"402","2007|GQ868502|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"403","2007|GQ868503|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"404","2007|GQ868504|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"405","2007|GQ868505|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"406","2007|GQ868506|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"407","2007|GQ868507|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"408","2007|GQ868508|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"409","2007|GQ868509|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"410","2007|GQ868510|Mexico",9,23,36,57,64,72,78,77,77,77,77,77
"411","2007|GQ868511|Mexico",9,24,44,67,79,85,89,91,91,91,91,91
"412","2007|GQ868512|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"413","2007|GQ868513|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"414","2007|GQ868514|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"415","2007|GQ868517|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"416","2007|GQ868518|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"417","2007|GQ868519|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"418","2007|GQ868520|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"419","2007|GQ868521|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"420","2007|GQ868522|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"421","2007|GQ868523|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"422","2007|GQ868524|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"423","2007|GQ868525|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"424","2007|GQ868526|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"425","2007|GQ868527|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"426","2007|GQ868528|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"427","2007|GQ868566|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"428","2007|GQ868567|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"429","2007|GQ868568|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"430","2007|GQ868569|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"431","2007|GU131840|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"432","2007|GU131841|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"433","2007|GU131842|Venezuela",7,19,37,49,58,60,70,69,68,68,68,68
"434","2007|GU131960|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"435","2007|GU131961|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"436","2007|GU131962|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"437","2007|GU131963|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"438","2007|GU131964|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"439","2007|GU131965|Mexico",9,26,51,69,83,86,90,92,92,92,92,92
"440","2007|GU131966|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"441","2007|GU131967|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"442","2007|GU131968|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"443","2007|GU131969|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"444","2007|GU131970|Mexico",9,23,36,57,63,65,91,93,93,93,93,93
"445","2007|GU131971|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"446","2007|GU131972|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"447","2007|GU131973|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"448","2007|GU131976|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"449","2007|GU131977|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"450","2007|GU131978|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"451","2007|GU131979|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"452","2007|GU131980|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"453","2007|GU131981|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"454","2007|HM171561|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"455","2007|HM171563|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"456","2007|HM171564|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"457","2007|HM171565|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"458","2007|HM171569|Mexico",9,24,44,67,78,79,83,82,82,82,82,82
"459","2007|HM450077|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"460","2007|HM450078|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"461","2007|HM450101|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"462","2007|HM450102|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"463","2007|HM450103|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"464","2007|HQ166035|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"465","2007|HQ166036|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"466","2007|HQ332179|Venezuela",7,19,37,49,58,60,70,69,68,68,68,68
"467","2007|HQ332183|Venezuela",5,14,21,33,38,81,84,84,84,84,84,84
"468","2007|JN819414|Venezuela",7,19,37,49,58,60,70,69,68,68,68,68
"469","2007|JN903578|India",2,5,10,53,60,62,66,66,65,65,65,65
"470","2007|JQ581617|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"471","2007|JQ581618|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"472","2007|JQ581622|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"473","2007|JQ581626|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"474","2007|JQ581627|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"475","2007|JQ581629|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"476","2007|JQ581633|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"477","2007|JQ581637|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"478","2007|KF955419|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"479","2007|KF955420|Mexico",9,24,44,67,78,80,92,94,94,94,94,94
"480","2007|KF955421|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"481","2007|KF955422|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"482","2007|KF955423|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"483","2007|KF955427|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"484","2007|KF955428|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"485","2007|KF955441|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"486","2007|KF955442|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"487","2007|KF955443|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"488","2007|KJ189317|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"489","2007|KJ189318|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"490","2007|KJ189319|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"491","2007|KJ189320|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"492","2007|KJ189321|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"493","2007|KJ189322|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"494","2007|KJ189323|Mexico",9,26,52,71,85,87,93,95,95,95,95,95
"495","2007|KJ189324|Mexico",9,24,44,67,78,80,92,94,94,94,94,94
"496","2007|KJ189325|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"497","2007|KJ189326|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"498","2007|KJ189327|Mexico",9,23,36,57,63,65,91,93,93,93,93,93
"499","2007|KJ189328|Mexico",9,23,36,57,63,65,91,93,93,93,93,93
"500","2007|KJ189329|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"501","2007|KJ189330|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"502","2007|KY461736|Costa_Rica",9,25,46,62,68,69,75,73,73,73,73,73
"503","2007|KY461737|Costa_Rica",9,23,35,48,56,56,57,59,59,59,59,59
"504","2007|KY461738|Costa_Rica",9,23,35,48,56,56,57,59,59,59,59,59
"505","2007|KY461739|Costa_Rica",9,25,47,74,87,88,94,96,96,96,96,96
"506","2008|FJ547088|Nicaragua",9,25,46,62,69,89,95,97,97,97,97,97
"507","2008|FJ850093|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"508","2008|FJ850103|Venezuela",8,21,30,37,41,39,39,40,38,38,38,38
"509","2008|FJ850104|Venezuela",7,18,27,29,33,36,37,45,43,43,43,43
"510","2008|GQ199857|Nicaragua",9,25,46,62,69,89,95,97,97,97,97,97
"511","2008|GQ199858|Nicaragua",9,25,46,62,69,89,95,97,97,97,97,97
"512","2008|GQ199859|Nicaragua",5,14,21,34,88,90,96,98,98,98,98,98
"513","2008|GQ357692|Singapore",10,27,39,51,59,61,65,65,64,64,64,64
"514","2008|GQ868529|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"515","2008|GQ868530|Mexico",9,26,52,71,85,87,93,95,95,95,95,95
"516","2008|GQ868531|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"517","2008|GQ868532|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"518","2008|GQ868533|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"519","2008|GQ868534|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"520","2008|GQ868535|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"521","2008|GQ868536|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"522","2008|GQ868537|Mexico",9,26,52,71,85,87,93,95,95,95,95,95
"523","2008|GQ868538|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"524","2008|GQ868539|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"525","2008|GQ868570|Colombia",7,20,55,75,91,92,97,99,99,99,99,99
"526","2008|GU131863|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"527","2008|GU131982|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"528","2008|GU131983|Mexico",9,24,44,67,79,85,89,91,91,91,91,91
"529","2008|GU131984|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"530","2008|HM450104|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"531","2008|HQ166037|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"532","2008|JF967804|Honduras",9,23,36,57,63,64,69,100,100,100,100,100
"533","2008|JF967814|India",1,3,33,77,94,94,98,101,101,101,101,101
"534","2008|JN022597|Martinique",8,21,30,37,41,39,39,40,38,38,38,38
"535","2008|JN022598|Martinique",8,21,30,37,41,39,39,40,38,38,38,38
"536","2008|JN022599|Martinique",8,21,30,37,41,39,39,40,38,38,38,38
"537","2008|JN415506|Guyana",7,19,37,50,65,66,72,70,70,70,70,70
"538","2008|JN415507|India",10,28,59,79,95,95,99,102,102,102,102,102
"539","2008|JN903579|India",10,27,39,52,96,96,100,103,103,103,103,103
"540","2008|JQ581602|Colombia",7,20,55,75,91,92,97,99,99,99,99,99
"541","2008|JQ581603|Colombia",7,20,55,75,91,92,97,99,99,99,99,99
"542","2008|JQ581604|Colombia",7,20,55,75,91,92,97,99,99,99,99,99
"543","2008|JQ581605|Colombia",7,19,37,50,65,66,72,70,70,70,70,70
"544","2008|JQ581619|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"545","2008|JQ581620|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"546","2008|JQ581623|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"547","2008|JQ581624|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"548","2008|JQ581625|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"549","2008|JQ581628|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"550","2008|JQ581630|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"551","2008|JQ581631|Colombia",7,18,28,41,46,46,46,48,47,47,47,47
"552","2008|JQ581634|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"553","2008|JQ581636|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"554","2008|KF444789|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"555","2008|KF955410|Nicaragua",5,14,21,34,88,90,96,98,98,98,98,98
"556","2008|KF955432|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"557","2008|KF955433|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"558","2008|KJ189312|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"559","2008|KJ189313|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"560","2008|KJ189314|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"561","2008|KJ189315|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"562","2008|KJ189331|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"563","2008|KJ189332|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"564","2008|KJ189333|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"565","2008|KJ189334|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"566","2008|KJ189335|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"567","2008|KJ189336|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"568","2008|KJ189337|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"569","2008|KJ189338|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"570","2008|KJ189339|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"571","2008|KJ189340|Mexico",9,24,44,68,81,84,88,90,90,90,90,90
"572","2008|KU509251|Venezuela",8,21,31,39,71,70,76,74,74,74,74,74
"573","2009|HM043709|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"574","2009|HM043710|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"575","2009|HQ026761|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"576","2009|HQ149732|China",10,28,59,79,95,95,99,102,102,102,102,102
"577","2009|HQ149733|China",10,28,59,79,95,95,99,102,102,102,102,102
"578","2009|JF937635|Nicaragua",5,14,21,35,97,97,101,104,104,104,104,104
"579","2009|JF937644|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"580","2009|JF937645|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"581","2009|JF960211|Singapore",10,27,40,80,99,99,102,105,105,105,105,105
"582","2009|JN036371|Bangladesh",10,28,59,79,95,95,99,102,102,102,102,102
"583","2009|JN903580|India",10,27,39,52,96,96,100,103,103,103,103,103
"584","2009|JN903581|India",10,27,39,52,96,96,100,103,103,103,103,103
"585","2009|JQ287666|Nicaragua",9,23,35,48,56,56,57,59,59,59,59,59
"586","2009|JQ425061|USA",9,25,47,74,87,88,94,96,96,96,96,96
"587","2009|JQ425062|USA",9,23,36,57,64,72,78,77,77,77,77,77
"588","2009|JQ425063|USA",9,25,47,74,87,88,94,96,96,96,96,96
"589","2009|JQ425064|USA",9,26,51,70,100,100,103,106,106,106,106,106
"590","2009|JQ425065|USA",9,26,51,70,100,100,103,106,106,106,106,106
"591","2009|JQ425066|USA",9,26,51,69,83,86,90,92,92,92,92,92
"592","2009|JQ425067|USA",7,18,27,30,101,101,104,107,107,107,107,107
"593","2009|JQ425068|USA",9,25,47,74,87,88,94,96,96,96,96,96
"594","2009|JQ917404|India",10,28,59,79,95,95,99,102,102,102,102,102
"595","2009|KC692495|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"596","2009|KC692496|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"597","2009|KC692497|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"598","2009|KC692498|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"599","2009|KC692499|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"600","2009|KC692500|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"601","2009|KC692501|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"602","2009|KC692502|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"603","2009|KC692503|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"604","2009|KC692504|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"605","2009|KC692505|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"606","2009|KC692506|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"607","2009|KC692507|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"608","2009|KC692508|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"609","2009|KC692509|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"610","2009|KC692510|Argentina",11,29,61,81,102,102,105,108,108,108,108,108
"611","2009|KF444780|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"612","2009|KF444781|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"613","2009|KF444782|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"614","2009|KF444783|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"615","2009|KF444784|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"616","2009|KF444785|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"617","2009|KF444790|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"618","2009|KF444791|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"619","2009|KJ189316|Mexico",9,24,43,56,77,77,81,80,80,80,80,80
"620","2009|KJ189341|Mexico",9,23,36,57,64,73,106,109,109,109,109,109
"621","2009|KJ189342|Mexico",9,23,36,57,64,73,106,109,109,109,109,109
"622","2009|KJ189343|Mexico",9,24,44,68,82,103,107,110,110,110,110,110
"623","2009|KJ189344|Mexico",9,24,44,68,82,103,107,110,110,110,110,110
"624","2009|KJ189345|Mexico",9,23,35,48,56,56,57,59,59,59,59,59
"625","2009|KJ189346|Mexico",9,24,43,55,61,63,67,67,66,66,66,66
"626","2009|KJ189347|Mexico",9,26,52,71,86,105,108,111,111,111,111,111
"627","2009|KX901653|Colombia",7,18,29,65,74,74,79,78,78,78,78,78
"628","2010|HQ026762|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"629","2010|HQ696612|Brazil",11,29,61,81,102,102,105,108,108,108,108,108
"630","2010|HQ696613|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"631","2010|HQ696614|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"632","2010|JF519855|USA",9,25,47,74,87,88,94,96,96,96,96,96
"633","2010|JF754980|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"634","2010|JF754981|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"635","2010|JF754982|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"636","2010|JF754983|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"637","2010|JF754984|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"638","2010|JF754985|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"639","2010|JF754986|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"640","2010|JF754987|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"641","2010|JF754988|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"642","2010|JF754989|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"643","2010|JF800928|Nepal",1,4,62,82,103,106,109,112,112,112,112,112
"644","2010|JF967932|India",10,27,40,80,99,99,102,105,105,105,105,105
"645","2010|JF967935|Malaysia",1,3,33,78,104,107,110,113,113,113,113,113
"646","2010|JF967939|India",10,27,40,80,99,99,102,105,105,105,105,105
"647","2010|JF969280|Haiti",8,21,30,37,41,39,39,40,38,38,38,38
"648","2010|JF969281|Haiti",8,21,30,37,41,39,39,40,38,38,38,38
"649","2010|JF969282|Haiti",8,21,30,37,41,39,39,40,38,38,38,38
"650","2010|JF969283|Haiti",8,21,30,37,41,39,39,40,38,38,38,38
"651","2010|JF969284|Haiti",8,21,30,37,41,39,39,40,38,38,38,38
"652","2010|JN029809|China",10,27,40,80,99,99,102,105,105,105,105,105
"653","2010|JN415486|India",10,27,40,80,99,99,102,105,105,105,105,105
"654","2010|JN713897|Brazil",7,19,37,50,65,66,72,70,70,70,70,70
"655","2010|JN982362|Brazil",4,12,49,64,73,71,77,76,76,76,76,76
"656","2010|JQ015184|Brazil",11,29,61,81,102,102,105,108,108,108,108,108
"657","2010|JQ015185|Brazil",11,29,61,81,102,102,105,108,108,108,108,108
"658","2010|JQ045561|USA",8,21,30,37,41,39,39,40,38,38,38,38
"659","2010|JQ045562|USA",8,22,63,83,105,108,111,114,114,114,114,114
"660","2010|JQ045563|USA",8,21,30,37,41,39,39,40,38,38,38,38
"661","2010|JQ045564|USA",9,25,47,74,87,88,94,96,96,96,96,96
"662","2010|JQ065899|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"663","2010|JQ065900|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"664","2010|JQ065901|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"665","2010|JQ065902|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"666","2010|JQ065903|Mexico",9,24,45,86,106,109,112,115,115,115,115,115
"667","2010|JQ065904|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"668","2010|JQ065905|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"669","2010|JQ065906|Mexico",9,24,45,86,106,109,112,115,115,115,115,115
"670","2010|JQ065907|Mexico",9,24,45,86,106,109,112,115,115,115,115,115
"671","2010|JQ065908|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"672","2010|JQ065909|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"673","2010|JQ065910|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"674","2010|JQ065911|Mexico",9,26,51,69,84,110,113,116,116,116,116,116
"675","2010|JQ065912|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"676","2010|JQ065913|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"677","2010|JQ065914|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
"678","2010|JQ065915|Mexico",9,26,51,70,100,100,103,106,106,106,106,106
